##FastQC	0.11.6
>>Basic Statistics	pass
#Measure	Value
Filename	Y25_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	95453868
Sequences flagged as poor quality	0
Sequence length	92-150
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.802842122647142	32.0	32.0	32.0	32.0	32.0
2	31.31710603911829	32.0	32.0	32.0	32.0	32.0
3	34.453852839153676	37.0	32.0	37.0	32.0	37.0
4	35.48254310658212	37.0	37.0	37.0	32.0	37.0
5	35.70429091464371	37.0	37.0	37.0	32.0	37.0
6	38.888189538846134	41.0	41.0	41.0	37.0	41.0
7	39.298709257125125	41.0	41.0	41.0	37.0	41.0
8	39.459601364713684	41.0	41.0	41.0	37.0	41.0
9	39.53552678451962	41.0	41.0	41.0	37.0	41.0
10-14	39.452865203953806	41.0	41.0	41.0	37.0	41.0
15-19	39.282617599110814	41.0	41.0	41.0	37.0	41.0
20-24	39.115027916940996	41.0	41.0	41.0	37.0	41.0
25-29	39.06330590605295	41.0	41.0	41.0	37.0	41.0
30-34	38.85825392219831	41.0	41.0	41.0	36.0	41.0
35-39	38.730781172744095	41.0	41.0	41.0	34.0	41.0
40-44	38.52294193882222	41.0	41.0	41.0	32.0	41.0
45-49	38.20750639041678	41.0	38.6	41.0	32.0	41.0
50-54	37.92527573214739	41.0	37.0	41.0	30.0	41.0
55-59	37.775173240753325	41.0	37.0	41.0	27.0	41.0
60-64	37.596470902572534	41.0	37.0	41.0	27.0	41.0
65-69	37.42942164690487	41.0	37.0	41.0	27.0	41.0
70-74	37.230871155477956	41.0	37.0	41.0	27.0	41.0
75-79	36.65300337541062	41.0	36.0	41.0	25.0	41.0
80-84	36.934582753629215	41.0	37.0	41.0	27.0	41.0
85-89	36.6655046917533	41.0	37.0	41.0	23.0	41.0
90-94	36.17970255537887	41.0	37.0	41.0	22.0	41.0
95-99	35.78232458178288	41.0	36.0	41.0	22.0	41.0
100-104	35.244609804082344	41.0	32.0	41.0	22.0	41.0
105-109	34.530460443547724	37.8	32.0	41.0	14.0	41.0
110-114	33.63419977151773	37.0	32.0	41.0	12.0	41.0
115-119	32.86820367979801	37.0	27.0	41.0	12.0	41.0
120-124	31.85001437559327	37.0	27.0	41.0	12.0	41.0
125-129	30.78916403101227	36.0	24.0	41.0	12.0	41.0
130-134	29.982764285759817	32.0	22.0	41.0	12.0	41.0
135-139	29.255403710956774	32.0	22.0	38.6	12.0	41.0
140-144	28.339140966087086	32.0	22.0	37.0	12.0	41.0
145-149	27.535588730057942	28.0	18.0	37.0	12.0	41.0
150	27.030149346511084	27.0	12.0	37.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.055724138262291945
1101	2	-0.16873240753039198
1101	3	-0.2128567165454598
1101	4	-0.3995957507827157
1101	5	-0.634204115342051
1101	6	-0.3974750260186468
1101	7	-0.8398037748977742
1101	8	-0.9525497630255515
1101	9	-0.9550266860297896
1101	10-14	-0.8932054832863301
1101	15-19	-0.878846645331727
1101	20-24	-0.8372208627501152
1101	25-29	-0.8827338838042422
1101	30-34	-0.8407405717700058
1101	35-39	-0.7957686488203493
1101	40-44	-0.9371118052222798
1101	45-49	-0.7071999200196757
1101	50-54	-0.6351071675690818
1101	55-59	-0.887302237482011
1101	60-64	-0.8587701956465636
1101	65-69	-0.8440707518288306
1101	70-74	-0.9503490251814171
1101	75-79	-1.1616099033181726
1101	80-84	-0.9126442769280345
1101	85-89	-1.2422790098628909
1101	90-94	-1.4087160626721484
1101	95-99	-1.7579566873739765
1101	100-104	-1.5264494646677136
1101	105-109	-1.9562013489852816
1101	110-114	-1.950399230681068
1101	115-119	-2.2043563240325277
1101	120-124	-2.3568545339598472
1101	125-129	-2.3976718611036283
1101	130-134	-2.2988263947334566
1101	135-139	-2.2363978960561255
1101	140-144	-1.837315700526549
1101	145-149	-2.0654017505127946
1101	150	-2.4741680043234275
1102	1	0.4441434250032188
1102	2	-0.011110400834859036
1102	3	0.40793350593092015
1102	4	0.2738536743793105
1102	5	0.12474827614369133
1102	6	0.31506654535008494
1102	7	0.03981818135941495
1102	8	-0.056121462711899994
1102	9	-0.06143667578258061
1102	10-14	-0.029962019847459942
1102	15-19	-0.028204962374047682
1102	20-24	-0.09513523671163426
1102	25-29	-0.1026283802354655
1102	30-34	-0.0037348496928473196
1102	35-39	-0.05676899353500886
1102	40-44	-0.022474729747607114
1102	45-49	0.11575738706771688
1102	50-54	0.12713363359106467
1102	55-59	0.09328635997143664
1102	60-64	0.09958065961530593
1102	65-69	0.06759134425965385
1102	70-74	0.05953836972781801
1102	75-79	0.047491146328560774
1102	80-84	-0.0427745829023749
1102	85-89	0.08886791225023671
1102	90-94	0.034481086676173334
1102	95-99	0.11240981311614462
1102	100-104	0.09860049179410879
1102	105-109	0.0289908166204782
1102	110-114	0.04662594776691975
1102	115-119	-0.1357021736977444
1102	120-124	0.20879155207959244
1102	125-129	-0.021333913018512618
1102	130-134	-0.30604038335123107
1102	135-139	-0.02812055146435455
1102	140-144	-0.20555963296484592
1102	145-149	-0.09484784481410813
1102	150	-0.08163430595167753
1103	1	0.22171305910923067
1103	2	0.018190226679060117
1103	3	0.482011943614566
1103	4	0.19565637452085838
1103	5	0.13511875371759885
1103	6	0.20002251554539896
1103	7	0.05908254547995284
1103	8	-0.07384785178883391
1103	9	-0.10639691023202147
1103	10-14	-0.056815238880382424
1103	15-19	-0.035521965046271475
1103	20-24	-0.17224157875585888
